id,title,category,brand,price,discountpercentage,discounted_price,rating,stock,stock_status
1,Essence Mascara Lash Princess,beauty,Essence,9.99,10.48,8.94,2.56,99,Available
2,Eyeshadow Palette with Mirror,beauty,Glamour Beauty,19.99,18.19,16.35,2.86,34,Available
3,Powder Canister,beauty,Velvet Touch,14.99,9.84,13.51,4.64,89,Available
4,Red Lipstick,beauty,Chic Cosmetics,12.99,12.16,11.41,4.36,91,Available
5,Red Nail Polish,beauty,Nail Couture,8.99,11.44,7.96,4.32,79,Available
6,Calvin Klein CK One,fragrances,Calvin Klein,49.99,1.89,49.05,4.37,29,Available
7,Chanel Coco Noir Eau De,fragrances,Chanel,129.99,16.51,108.53,4.26,58,Available
8,Dior J'adore,fragrances,Dior,89.99,14.72,76.74,3.8,98,Available
9,Dolce Shine Eau de,fragrances,Dolce & Gabbana,69.99,0.62,69.56,3.96,4,Low Stock
10,Gucci Bloom Eau de,fragrances,Gucci,79.99,14.39,68.48,2.74,91,Available
11,Annibale Colombo Bed,furniture,Annibale Colombo,1899.99,8.57,1737.16,4.77,88,Available
12,Annibale Colombo Sofa,furniture,Annibale Colombo,2499.99,14.4,2139.99,3.92,60,Available
13,Bedside Table African Cherry,furniture,Furniture Co.,299.99,19.09,242.72,2.87,64,Available
14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,2.01,489.94,4.88,26,Available
15,Wooden Bathroom Sink With Mirror,furniture,Bath Trends,799.99,8.8,729.59,3.59,7,Low Stock
16,Apple,groceries,Unknown,1.99,12.62,1.74,4.19,8,Low Stock
17,Beef Steak,groceries,Unknown,12.99,9.61,11.74,4.47,86,Available
18,Cat Food,groceries,Unknown,8.99,9.58,8.13,3.13,46,Available
19,Chicken Meat,groceries,Unknown,9.99,13.7,8.62,3.19,97,Available
20,Cooking Oil,groceries,Unknown,4.99,9.33,4.52,4.8,10,Low Stock
21,Cucumber,groceries,Unknown,1.49,0.16,1.49,4.07,84,Available
22,Dog Food,groceries,Unknown,10.99,10.27,9.86,4.55,71,Available
23,Eggs,groceries,Unknown,2.99,11.05,2.66,2.53,9,Low Stock
